text,label,ticket_id,agent_name
Where can I find API rate limits documentation?,Othr,1000,Dana
Can I migrate data from Freshdesk?,Othr,1001,Bob
Cannot update billing address; page keeps reloading.,billing,1002,Charlie
Looking for a product roadmap or upcoming features.,other,1003,Dana
Dark mode toggled but UI stays light.,Tech-support,1004,Alice
Promo code SPRING15 not applied at checkout.,billing,1005,Alice
Incorrect role assigned; need admin access for my team.,account,1006,Dana
File export to CSV generates corrupted file.,technical,1007,Dana
Overcharged by GHS 120 on my last bill. 😡,billing,1008,Dana
,account,1009,Dana
Username amina already taken but it's my old account.,Accnt,1010,Bob
Please provide onboarding training for my team. ###,OTHER,1011,Charlie
Integration with Slack fails with timeout. !!!,TECHNICAL,1012,Charlie
Need to change email from old@mail.com to me@company.com.,ACCOUNT,1013,Bob
Cannot update billing address; page keeps reloading.,BILLING,1014,Charlie
Need to merge two accounts into one.,Accnt,1015,Alice
Do you offer discounts for students or NGOs?,Other ,1016,Bob
Integration with Zapier fails with timeout.,,1017,Charlie
How can I request my data under GDPR?,Other ,1018,Dana
How do I delete my account and all data?,Accnt,1019,Alice
Do you offer discounts for students or NGOs?,other,1020,Charlie
Promo code SAVE20 not applied at checkout. 😡,Billng,1021,Charlie
Please provide onboarding training for my team.,Other ,1022,Dana
Subscription renewal charged incorrectly this month.,Billng,1023,Alice
Currency converted incorrectly; expected GHS. 12345,Billing ,1024,Charlie
Forgot my password and reset link never arrives.,Accnt,1025,Alice
File export to CSV generates corrupted file.,TECHNICAL,1026,Charlie
Promo code BLACK50 not applied at checkout.,Billng,1027,Bob
Overcharged by $49 on my last bill.,BILLING,1028,Dana
Payment failed during checkout with card ending 4421.,billing,1029,Dana
,billing,1030,Charlie
How do I delete my account and all data? 12345,Accnt,1031,Charlie
Incorrect role assigned; need admin access for my team., Account ,1032,Alice
App crashes when I tap Submit on Android.,TECHNICAL,1033,Charlie
Incorrect role assigned; need admin access for my team.,Accnt,1034,Alice
Locked out after too many login attempts.,ACCOUNT,1035,Bob
Locked out after too many login attempts.,Accnt,1036,Dana
Cannot enable two-factor authentication; QR fails to scan.,account,1037,Charlie
How do I delete my account and all data?, Account ,1038,Bob
Do you offer discounts for students or NGOs?,other,1039,Alice
Can't verify phone number; code not sent.,Accnt,1040,Dana
Need to merge two accounts into one.,Accnt,1041,Bob
Notifications not arriving on iOS after latest update. 12345, Tech,1042,Alice
Need to merge two accounts into one., Account ,1043,Dana
Currency converted incorrectly; expected GHS. 12345,billing,1044,Charlie
Dark mode toggled but UI stays light.,technical,1045,Alice
Subscription renewal charged incorrectly this month. 😡,Billng,1046,Dana
Can't verify phone number; code not sent. <br>,ACCOUNT,1047,Dana
Subscription renewal charged incorrectly this month.,Billng,1048,Charlie
When is the Pro pricing changing?,Other ,1049,Dana
Payment failed during checkout with card ending 4421.,Billng,1050,Charlie
Looking for a product roadmap or upcoming features. ###,OTHER,1051,Charlie
Can I migrate data from Freshdesk?,Othr,1052,Bob
Is there a sandbox environment for testing?,other,1053,Charlie
Subscription renewal charged incorrectly this month.,BILLING,1054,Charlie
Integration with QuickBooks fails with timeout.,,1055,Dana
Dark mode toggled but UI stays light. 😡,Tech-support,1056,Dana
Where can I find API rate limits documentation?,Other ,1057,Bob
Promo code BLACK50 not applied at checkout. 12345,Billng,1058,Alice
Charged twice for the same order #46048.,Billng,1059,Alice
Currency converted incorrectly; expected EUR.,,1060,Alice
Cannot enable two-factor authentication; QR fails to scan.,ACCOUNT,1061,Bob
Subscription renewal charged incorrectly this month.,BILLING,1062,Dana
Dark mode toggled but UI stays light.,Tech-support,1063,Bob
When is the Basic pricing changing?,other,1064,Alice
Locked out after too many login attempts.,account,1065,Alice
Do you offer discounts for students or NGOs?,Other ,1066,Dana
Can I migrate data from Freshdesk?,,1067,Dana
, Account ,1068,Dana
Username sam.dev already taken but it's my old account.,,1069,Alice
Please provide onboarding training for my team. <br>,OTHER,1070,Bob
Overcharged by $12.99 on my last bill.,Billng,1071,Charlie
Please provide onboarding training for my team. 12345,Other ,1072,Alice
,account,1073,Charlie
Cannot enable two-factor authentication; QR fails to scan.,Accnt,1074,Charlie
Do you offer discounts for students or NGOs?,OTHER,1075,Alice
,BILLING,1076,Charlie
Can I migrate data from Zendesk?,OTHER,1077,Bob
Website returns 500 error on /checkout.,Tech-support,1078,Alice
Locked out after too many login attempts.,account,1079,Charlie
Refund not received after 5 days.,Billing ,1080,Charlie
Promo code SPRING15 not applied at checkout.,billing,1081,Charlie
How do I delete my account and all data?,,1082,Dana
